iter	MultiClass
0	1.306458587
1	1.101589082
2	0.9525543518
3	0.8352328506
4	0.742719873
5	0.6618032233
6	0.5955764994
7	0.5381389643
8	0.4912185063
9	0.4479151553
10	0.4108136393
11	0.3780589678
12	0.3492747611
13	0.3220743136
14	0.3000663318
15	0.2789888263
16	0.2594039819
17	0.2433766287
18	0.2297701986
19	0.2150988477
20	0.2011298014
21	0.1882783694
22	0.1769766224
23	0.166810544
24	0.1581569644
25	0.1502026353
26	0.1427341991
27	0.1375222908
28	0.1314964795
29	0.1269794511
30	0.1219333047
31	0.1163522827
32	0.1117497053
33	0.1078813971
34	0.102791499
35	0.09926028647
36	0.09602219157
37	0.0935163055
38	0.09135591467
39	0.0882990949
40	0.0853597432
41	0.08306119618
42	0.0804299136
43	0.0769751766
44	0.07533195797
45	0.07335684925
46	0.07137534304
47	0.06894969327
48	0.06766629051
49	0.06607493213
50	0.06374345258
51	0.06206957201
52	0.05970299271
53	0.05857153603
54	0.05722824396
55	0.05554512593
56	0.05457770815
57	0.0530882914
58	0.05247893225
59	0.05152426572
60	0.05024590938
61	0.04866315783
62	0.04807240446
63	0.04718626237
64	0.04581852956
65	0.0448326307
66	0.04410991601
67	0.04322805871
68	0.04254771093
69	0.04140107585
70	0.04085790182
71	0.0396397997
72	0.03846238639
73	0.03759444279
74	0.03709055311
75	0.03661420656
76	0.03578814626
77	0.03539252525
78	0.03435460365
79	0.03340286896
80	0.03299888225
81	0.03236782923
82	0.03177032607
83	0.03110236746
84	0.03058253223
85	0.03023598404
86	0.02930484182
87	0.02865892354
88	0.02786411411
89	0.02740681912
90	0.02684728262
91	0.02620795707
92	0.02559703004
93	0.02528812146
94	0.02477858648
95	0.02437290668
96	0.02411029376
97	0.02365014038
98	0.02329745777
99	0.02272198703
100	0.02245044716
101	0.02228137843
102	0.02195325326
103	0.02161905245
104	0.02112440643
105	0.02087509787
106	0.02053207994
107	0.02033545096
108	0.0197229481
109	0.01945834071
110	0.01921369333
111	0.01868218499
112	0.01844453978
113	0.01828709788
114	0.01807776965
115	0.0176612946
116	0.01728443045
117	0.01713016162
118	0.0169735611
119	0.01667644832
120	0.01647253759
121	0.01623428648
122	0.0159402413
123	0.0157383693
124	0.01557241831
125	0.01526168006
126	0.01515163669
127	0.01485361578
128	0.01467158114
129	0.01442004686
130	0.01424662635
131	0.01387473485
132	0.01373966174
133	0.01366894329
134	0.01347114965
135	0.01324327736
136	0.01309083418
137	0.01281509677
138	0.01270864528
139	0.01262112765
140	0.01241415763
141	0.01228226553
142	0.01211657036
143	0.01206589797
144	0.01192241284
145	0.01180750751
146	0.0116499189
147	0.01141309684
148	0.0112881258
