iter	Passed	Remaining
202	93557	136879
203	94102	136541
204	94547	136055
205	95074	135688
206	95570	135276
207	96032	134814
208	96444	134284
209	96865	133766
210	97318	133293
211	97767	132816
212	98148	132247
213	98627	131810
214	99003	131237
215	99460	130771
216	99967	130372
217	100426	129909
218	100926	129499
219	101403	129059
220	101901	128645
221	102350	128168
222	102794	127686
223	103243	127211
224	103675	126714
225	104075	126179
226	104627	125829
227	105079	125357
228	105529	124884
229	105934	124358
230	106474	123990
231	106874	123457
232	107313	122973
233	107787	122527
234	108246	122064
235	108798	121707
236	109242	121226
237	109696	120758
238	110226	120372
239	110774	120005
240	111190	119494
241	111610	118990
242	112013	118466
243	112410	117939
244	112831	117436
245	113307	116992
246	113736	116498
247	114124	115965
248	114619	115539
249	115072	115072
250	115497	114577
251	115981	114140
252	116361	113601
253	116785	113107
254	117194	112598
255	117567	112056
256	118030	111600
257	118528	111178
258	118944	110677
259	119382	110198
260	119822	109722
261	120326	109304
262	120863	108915
263	121340	108471
264	121786	107999
265	122261	107553
266	122691	107068
267	123212	106661
268	123665	106195
269	124176	105779
270	124651	105333
271	125035	104809
272	125437	104301
273	125893	103839
274	126418	103432
275	126801	102911
276	127301	102484
277	127714	101988
278	128152	101511
279	128582	101029
280	129027	100558
281	129494	100105
282	129981	99668
283	130394	99173
284	130874	98729
285	131397	98318
286	131753	97782
287	132163	97286
288	132609	96818
289	133096	96380
290	133542	95911
291	134012	95460
292	134442	94981
293	134891	94516
294	135257	93992
295	135794	93587
296	136193	93088
297	136713	92671
298	137192	92226
299	137630	91753
300	138224	91384
301	138679	90922
302	139183	90492
303	139692	90064
304	140133	89593
305	140609	89144
306	141053	88675
307	141599	88269
308	142051	87805
309	142548	87368
310	142950	86873
311	143477	86454
312	143873	85956
313	144292	85472
314	144706	84986
315	145086	84480
316	145511	84001
317	145872	83486
318	146245	82979
319	146745	82544
320	147162	82062
321	147615	81600
322	148072	81142
323	148587	80714
324	149011	80236
325	149498	79793
326	149925	79318
327	150373	78854
328	150780	78369
329	151255	77919
330	151664	77436
331	152099	76966
332	152486	76472
333	152865	75975
334	153272	75492
335	153758	75048
336	154232	74599
337	154672	74132
338	155174	73696
339	155585	73216
340	156100	72786
341	156577	72337
342	157032	71877
343	157517	71432
344	157993	70982
345	158457	70527
346	158885	70056
347	159353	69602
348	159753	69119
349	160228	68669
350	160692	68214
351	161091	67731
352	161568	67282
353	162134	66869
354	162637	66429
355	163182	66006
356	163665	65558
357	164109	65093
358	164646	64665
359	165254	64265
360	165830	63851
361	166352	63416
362	166845	62969
363	167286	62502
364	167718	62032
365	168122	61553
366	168625	61109
367	169091	60652
368	169560	60196
369	170062	59751
370	170539	59297
371	170999	58838
372	171432	58369
373	172012	57950
374	172468	57489
375	172959	57039
376	173496	56605
377	173919	56132
378	174426	55687
379	174874	55223
380	175283	54747
381	175766	54294
382	176248	53840
383	176660	53366
384	177139	52911
385	177604	52453
386	178116	52008
387	178541	51537
388	179064	51095
389	179497	50627
390	180024	50185
391	180439	49712
392	180838	49236
393	181245	48761
394	181771	48318
395	182238	47860
396	182693	47398
397	183143	46936
398	183586	46471
399	184106	46026
400	184560	45564
401	185097	45123
402	185573	44666
403	186123	44227
404	186572	43763
405	187066	43310
406	187566	42859
407	187992	42390
408	188396	41917
409	188974	41482
410	189401	41013
411	189942	40570
412	190383	40104
413	190842	39643
414	191366	39195
415	191811	38731
416	192222	38260
417	192739	37810
418	193157	37340
419	193704	36896
420	194132	36428
421	194609	35970
422	195063	35507
423	195551	35051
424	196072	34600
425	196523	34137
426	196934	33667
427	197343	33197
428	197756	32728
429	198204	32265
430	198675	31806
431	199121	31343
432	199529	30874
433	200014	30416
434	200478	29956
435	200900	29490
436	201329	29024
437	201824	28568
438	202238	28101
439	202758	27648
440	203212	27187
441	203702	26730
442	204106	26262
443	204610	25806
444	205059	25344
445	205462	24876
446	205930	24416
447	206435	23961
448	206940	23505
449	207376	23041
450	207909	22588
451	208308	22121
452	208708	21654
453	209243	21200
454	209613	20730
455	210127	20275
456	210546	19810
457	210942	19344
458	211354	18879
459	211855	18422
460	212279	17958
461	212763	17500
462	213220	17039
463	213716	16581
464	214107	16115
465	214526	15652
466	215055	15196
467	215461	14732
468	215887	14269
469	216417	13813
470	216830	13350
471	217237	12886
472	217662	12424
473	218075	11961
474	218497	11499
475	218974	11040
476	219436	10580
477	219912	10121
478	220404	9662
479	220946	9206
480	221362	8744
481	221779	8282
482	222252	7822
483	222767	7364
484	223198	6903
485	223633	6442
486	224044	5980
487	224452	5519
488	224982	5060
489	225366	4599
490	225934	4141
491	226431	3681
492	226960	3222
493	227454	2762
494	227987	2302
495	228497	1842
496	228933	1381
497	229399	921
498	229816	460
499	230246	0
